project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Agriculture,5.0,810.0,147.5,33.75,3.8,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Construction,70.0,18480.0,1195.6,70.0,33.6,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Energy_Utilities,20.0,4864.0,118.0,32.4,12.8,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Health_Social,45.0,7686.0,1036.8,52.65,31.5,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Manufacturing,62.5,28025.0,610.0,120.0,26.25,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Mining_Extraction,12.5,4880.0,106.75,28.8,7.0,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Transport_Logistics,17.5,3613.75,206.5,12.81,10.5,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,0,Water_Waste,17.5,2271.5,247.8,189.0,12.075,70630.25,3668.95,539.41,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Agriculture,5.335,864.27,157.38,36.0112,4.0546,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Construction,10.0,2640.0,170.8,10.0,4.8,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Energy_Utilities,15.95,3879.04,94.1,25.839,10.208,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Health_Social,12.445,2125.61,286.73,14.5607,8.7115,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Manufacturing,28.875,12947.55,281.82,55.44,12.1275,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Mining_Extraction,22.3375,8720.56,190.76,51.4656,12.509,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Transport_Logistics,12.8125,2645.78,151.19,9.3788,7.6875,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,1,Water_Waste,6.8875,894.0,97.53,74.385,4.75238,105347.06,5099.26,816.49,202.375
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Agriculture,2.56421,415.4,75.64,17.3084,1.9488,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Construction,4.36278,1151.77,74.52,4.3628,2.09413,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Energy_Utilities,7.24982,1763.16,42.77,11.7447,4.63989,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Health_Social,4.81758,822.84,111.0,5.6366,3.37231,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Manufacturing,12.708,5698.27,124.03,24.3994,5.33736,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Mining_Extraction,10.68506,4171.45,91.25,24.6184,5.98364,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Transport_Logistics,5.86365,1210.84,69.19,4.2922,3.51819,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,2,Water_Waste,3.22198,418.21,45.62,34.7974,2.22316,120999.0,5733.28,943.65,231.493
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Agriculture,1.14695,185.81,33.83,7.7419,0.87168,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Construction,1.94953,514.67,33.3,1.9495,0.93577,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Energy_Utilities,3.27752,797.09,19.34,5.3096,2.09761,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Health_Social,2.122,362.44,48.89,2.4827,1.4854,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Manufacturing,5.75044,2578.5,56.12,11.0408,2.41518,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Mining_Extraction,4.81135,1878.35,41.09,11.0853,2.69436,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Transport_Logistics,2.64034,545.23,31.16,1.9327,1.58421,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,3,Water_Waste,1.44736,187.87,20.49,15.6315,0.99868,128048.96,6017.5,1000.824,244.576
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Agriculture,0.51429,83.32,15.17,3.4715,0.39086,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Construction,0.87893,232.04,15.01,0.8789,0.42188,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Energy_Utilities,1.47458,358.62,8.7,2.3888,0.94373,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Health_Social,0.95202,162.6,21.93,1.1139,0.66641,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Manufacturing,2.58773,1160.34,25.26,4.9684,1.08684,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Mining_Extraction,2.17029,847.28,18.53,5.0004,1.21536,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Transport_Logistics,1.18769,245.26,14.01,0.8694,0.71262,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,4,Water_Waste,0.65091,84.49,9.22,7.0298,0.44913,131222.91,6145.33,1026.545,250.463
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Agriculture,0.23117,37.45,6.82,1.5604,0.17569,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Construction,0.39565,104.45,6.76,0.3957,0.18991,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Energy_Utilities,0.66377,161.43,3.92,1.0753,0.42481,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Health_Social,0.42833,73.16,9.87,0.5011,0.29983,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Manufacturing,1.1654,522.57,11.37,2.2376,0.48947,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Mining_Extraction,0.97715,381.48,8.34,2.2513,0.5472,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Transport_Logistics,0.53457,110.39,6.31,0.3913,0.32074,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Water_Waste,0.29285,38.01,4.15,3.1628,0.20207,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Agriculture,0.10402,16.85,3.07,0.7022,0.07906,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Construction,0.17814,47.03,3.04,0.1781,0.08551,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Energy_Utilities,0.2988,72.67,1.76,0.4841,0.19123,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Health_Social,0.1928,32.93,4.44,0.2256,0.13496,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Manufacturing,0.52467,235.26,5.12,1.0074,0.22036,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Mining_Extraction,0.43996,171.76,3.76,1.0137,0.24638,133295.15,6228.77,1043.332,254.305
