project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Agriculture,5.0,850.5,177.0,37.8,3.8,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Construction,70.0,19958.4,1410.81,74.2,33.6,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Energy_Utilities,20.0,5593.6,129.8,36.288,12.8,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Health_Social,45.0,8377.74,1264.9,56.862,31.5,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Manufacturing,62.5,30827.5,701.5,129.6,26.25,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Mining_Extraction,12.5,5465.6,122.76,31.104,7.0,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Transport_Logistics,17.5,3830.58,231.28,13.4505,10.5,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,0,Water_Waste,17.5,2498.65,292.4,207.9,12.075,77402.57,4330.45,587.204,137.525
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Agriculture,6.7075,1140.95,237.45,50.7087,5.0977,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Construction,10.385,2960.97,209.3,11.0081,4.9848,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Energy_Utilities,15.95,4460.9,103.52,28.9397,10.208,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Health_Social,12.445,2316.91,349.81,15.7255,8.7115,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Manufacturing,29.5675,14583.87,331.87,61.3112,12.41835,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Mining_Extraction,24.46,10695.09,240.22,60.8643,13.6976,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Transport_Logistics,13.4325,2940.24,177.52,10.3242,8.0595,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,1,Water_Waste,7.51,1072.28,125.48,89.2188,5.1819,117573.78,6105.62,915.305,205.884
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Agriculture,3.37688,574.41,119.54,25.5292,2.56643,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Construction,4.81937,1374.1,97.13,5.1085,2.3133,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Energy_Utilities,7.62936,2133.78,49.51,13.8427,4.88279,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Health_Social,5.02059,934.69,141.12,6.344,3.51441,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Manufacturing,13.74671,6780.43,154.29,28.5052,5.77362,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Mining_Extraction,11.9873,5241.42,117.73,29.8282,6.71289,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Transport_Logistics,6.46858,1415.91,85.49,4.9717,3.88115,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,2,Water_Waste,3.70229,528.61,61.86,43.9832,2.55458,136557.13,6932.29,1073.418,238.084
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Agriculture,1.58608,269.79,56.15,11.9908,1.20542,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Construction,2.26647,646.22,45.68,2.4025,1.0879,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Energy_Utilities,3.61774,1011.81,23.48,6.564,2.31535,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Health_Social,2.32332,432.54,65.31,2.9357,1.62632,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Manufacturing,6.51095,3211.46,73.08,13.5011,2.7346,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Mining_Extraction,5.6624,2475.87,55.61,14.0899,3.17095,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Transport_Logistics,3.056,668.93,40.39,2.3488,1.8336,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,3,Water_Waste,1.74679,249.41,29.19,20.7519,1.20529,145523.16,7321.18,1148.002,253.263
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Agriculture,0.74642,126.97,26.42,5.6429,0.56728,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Construction,1.07111,305.4,21.59,1.1354,0.51413,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Energy_Utilities,1.70751,477.56,11.08,3.0981,1.0928,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Health_Social,1.09382,203.64,30.75,1.3821,0.76567,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Manufacturing,3.07348,1515.96,34.5,6.3732,1.29086,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Mining_Extraction,2.67739,1170.68,26.29,6.6622,1.49934,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Transport_Logistics,1.44194,315.63,19.06,1.1083,0.86516,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,4,Water_Waste,0.82405,117.66,13.77,9.7897,0.5686,149756.66,7504.64,1183.194,260.427
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Agriculture,0.35201,59.88,12.46,2.6612,0.26753,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Construction,0.50572,144.19,10.19,0.5361,0.24275,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Energy_Utilities,0.80611,225.45,5.23,1.4626,0.51591,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Health_Social,0.51618,96.1,14.51,0.6522,0.36133,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Manufacturing,1.45155,715.96,16.29,3.0099,0.60965,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Mining_Extraction,1.26424,552.79,12.42,3.1458,0.70797,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Transport_Logistics,0.68067,148.99,9.0,0.5232,0.4084,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,5,Water_Waste,0.38888,55.52,6.5,4.6199,0.26833,151755.54,7591.24,1199.805,263.809
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Agriculture,0.16615,28.26,5.88,1.2561,0.12627,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Construction,0.2388,68.09,4.81,0.2531,0.11462,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Energy_Utilities,0.38058,106.44,2.47,0.6905,0.24357,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Health_Social,0.24368,45.37,6.85,0.3079,0.17058,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Manufacturing,0.68536,338.05,7.69,1.4212,0.28785,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Mining_Extraction,0.59696,261.02,5.86,1.4854,0.3343,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Transport_Logistics,0.32135,70.34,4.25,0.247,0.19281,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,6,Water_Waste,0.18358,26.21,3.07,2.181,0.12667,152699.32,7632.12,1207.647,265.405
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Agriculture,0.07844,13.34,2.78,0.593,0.05961,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Construction,0.11275,32.15,2.27,0.1195,0.05412,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Energy_Utilities,0.17969,50.25,1.17,0.326,0.115,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Health_Social,0.11505,21.42,3.23,0.1454,0.08054,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Manufacturing,0.3236,159.61,3.63,0.671,0.13591,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Mining_Extraction,0.28186,123.24,2.77,0.7014,0.15784,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Transport_Logistics,0.15172,33.21,2.01,0.1166,0.09103,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Water_Waste,0.08667,12.38,1.45,1.0297,0.0598,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Agriculture,0.03703,6.3,1.31,0.28,0.02815,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Construction,0.05323,15.18,1.07,0.0564,0.02555,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Energy_Utilities,0.08484,23.73,0.55,0.1539,0.0543,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Health_Social,0.05432,10.11,1.53,0.0686,0.03802,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Manufacturing,0.15279,75.36,1.71,0.3168,0.06417,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Mining_Extraction,0.13308,58.19,1.31,0.3311,0.07452,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Transport_Logistics,0.07164,15.68,0.95,0.0551,0.04298,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Water_Waste,0.04092,5.84,0.68,0.4862,0.02824,153355.31,7660.54,1213.098,266.515
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Agriculture,0.25,44.1,11.1,2.31,0.19,9955.62,522.54,64.57,13.378
