project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Agriculture,5.0,801.9,154.88,34.425,3.914,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Construction,70.0,17925.6,1255.38,70.7,34.944,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Energy_Utilities,20.0,4474.88,120.36,33.372,13.44,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Health_Social,45.0,7301.7,1088.64,53.703,32.76,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Manufacturing,62.5,27184.25,634.4,122.4,27.0375,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Mining_Extraction,12.5,4733.6,109.95,29.088,7.21,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Transport_Logistics,17.5,3505.34,218.89,12.9381,10.92,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,0,Water_Waste,17.5,2180.64,262.67,192.78,12.558,68107.91,3845.17,549.406,142.784
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,1,Agriculture,5.335,855.63,165.25,36.7315,4.17624,102598.59,5405.34,841.97,213.091
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,1,Construction,10.0,2560.8,179.34,10.1,4.992,102598.59,5405.34,841.97,213.091
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,1,Energy_Utilities,16.8875,3778.48,101.63,28.1785,11.3484,102598.59,5405.34,841.97,213.091
