project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Agriculture,5.0,826.2,177.0,33.75,3.838,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Construction,70.0,19219.2,1458.63,70.0,34.272,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Energy_Utilities,20.0,5155.84,135.7,32.4,13.184,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Health_Social,45.0,7916.58,1296.0,52.65,32.13,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Manufacturing,62.5,28865.75,732.0,120.0,26.5125,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Mining_Extraction,12.5,5075.2,125.96,28.8,7.14,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Transport_Logistics,17.5,3758.3,243.67,12.81,10.71,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,0,Water_Waste,17.5,2339.65,302.32,189.0,12.3165,73156.72,4471.28,539.41,140.103
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,1,Agriculture,5.335,881.56,188.86,36.0112,4.09515,110212.61,6286.01,825.388,208.854
hospitals_P1,LATAM,Health_Social,250000000.0,wiod,calibrated_benchmark,1,Construction,11.1575,3063.4,232.5,11.1575,5.46271,110212.61,6286.01,825.388,208.854
